iter	Logloss
0	0.6670424391
1	0.6424042465
2	0.6185251215
3	0.600322128
4	0.5843837146
5	0.5715426082
6	0.5602758922
7	0.5478711226
8	0.5370046365
9	0.5265705607
10	0.5142135107
11	0.5053301328
12	0.4982046839
13	0.4908067362
14	0.4828382471
15	0.477035557
16	0.4703777687
17	0.4609036996
18	0.4553541114
19	0.4485435546
20	0.4441932678
21	0.4406354339
22	0.4370865112
23	0.4317389276
24	0.4288608468
25	0.42545413
26	0.4219893139
27	0.4175713339
28	0.413933679
29	0.4101671601
30	0.4071883283
31	0.4044378665
32	0.4020370228
33	0.3960157238
34	0.3924700587
35	0.3900815562
36	0.3853815623
37	0.3826854763
38	0.3798159385
39	0.3771107894
40	0.3746509148
41	0.3722886083
42	0.3703367592
43	0.3685245723
44	0.3665078493
45	0.3640530066
46	0.3623185499
47	0.3605494563
48	0.3590306701
49	0.3573687553
50	0.3533593317
51	0.351354494
52	0.349255385
53	0.3464934815
54	0.3449562792
55	0.3436406653
56	0.3420230162
57	0.3403088613
58	0.3380949665
59	0.3368403768
60	0.3347911437
61	0.3335918129
62	0.3313192648
63	0.3301053322
64	0.3284619443
65	0.3269871521
66	0.3258497815
67	0.3244702425
68	0.3221386946
69	0.320644397
70	0.3182338166
71	0.3163229188
72	0.3140237972
73	0.3131648319
74	0.3103451792
75	0.3091294398
76	0.3074128558
77	0.3063453596
78	0.3052800434
79	0.304089739
80	0.3018059723
81	0.3008658927
82	0.2996470709
83	0.2980305455
84	0.2966788105
85	0.2956834748
86	0.2942429053
87	0.293337244
88	0.2920408115
89	0.291112964
90	0.2898698161
91	0.2883533508
92	0.2863141631
93	0.2845389931
94	0.2835588107
95	0.2827155997
96	0.2812833853
97	0.2799246756
98	0.278759794
99	0.2779208883
100	0.2767087106
101	0.2755320265
102	0.2743583963
103	0.2738031552
104	0.2725447606
105	0.2719493847
106	0.2714404631
107	0.2706382852
108	0.2691689026
109	0.2686238403
110	0.26729289
111	0.2666242954
112	0.2656992449
113	0.2650587988
114	0.2642645346
115	0.2634708328
116	0.2626473137
117	0.2618909851
118	0.2607944063
119	0.2595207075
120	0.258039102
121	0.2571625272
122	0.2565437312
123	0.2557376664
124	0.2548771294
