iter	Passed	Remaining
0	29	14802
1	46	11694
2	68	11324
3	113	14043
4	132	13117
5	157	12993
6	178	12557
7	205	12625
8	222	12154
9	256	12563
10	273	12177
11	293	11949
12	318	11944
13	342	11899
14	405	13114
15	426	12891
16	444	12627
17	472	12643
18	496	12559
19	514	12340
20	539	12296
21	566	12312
22	587	12187
23	611	12126
24	631	12006
25	660	12047
26	680	11919
27	707	11926
28	730	11864
29	759	11893
30	784	11869
31	804	11770
32	830	11756
33	854	11709
34	877	11657
35	898	11585
36	915	11455
37	935	11372
38	962	11372
39	985	11335
40	1003	11232
41	1037	11310
42	1055	11222
43	1093	11337
44	1111	11234
45	1139	11244
46	1160	11187
47	1230	11586
48	1272	11715
49	1294	11650
50	1329	11703
51	1375	11852
52	1420	11980
53	1470	12144
54	1497	12116
55	1593	12637
56	1617	12567
57	1639	12490
58	1662	12428
59	1681	12333
60	1722	12394
61	1747	12345
62	1765	12244
63	1788	12185
64	1806	12092
65	1823	11992
66	1852	11970
67	1877	11928
68	1897	11853
69	1921	11805
70	1951	11790
71	1968	11702
72	1986	11617
73	2016	11607
74	2061	11679
75	2096	11694
76	2141	11761
77	2160	11688
78	2189	11670
79	2207	11591
80	2227	11521
81	2253	11488
82	2273	11421
83	2292	11352
84	2323	11343
85	2345	11289
86	2384	11318
87	2401	11244
88	2420	11178
89	2444	11133
90	2460	11060
91	2481	11005
92	2525	11050
93	2542	10983
94	2572	10966
95	2595	10922
96	2613	10859
97	2638	10824
98	2661	10782
99	2690	10761
100	2717	10734
101	2734	10671
102	2764	10657
103	2782	10594
104	2803	10548
105	2830	10519
106	2853	10479
107	2909	10560
108	2928	10506
109	2957	10485
110	2974	10424
111	2994	10372
112	3029	10375
113	3047	10318
114	3068	10272
115	3099	10258
116	3117	10206
117	3136	10152
118	3167	10141
119	3186	10090
120	3223	10095
121	3241	10043
122	3260	9992
123	3284	9959
124	3319	9959
125	3337	9906
126	3354	9852
127	3382	9829
128	3406	9795
129	3423	9744
130	3449	9717
131	3470	9673
132	3489	9627
133	3511	9589
134	3527	9537
135	3544	9485
136	3571	9463
137	3599	9441
138	3617	9395
139	3642	9365
140	3664	9329
141	3722	9384
142	3744	9348
143	3784	9357
144	3802	9310
145	3830	9287
146	3847	9239
147	3867	9198
148	3892	9170
149	3915	9135
150	3932	9089
151	3958	9062
152	3976	9018
153	3996	8979
154	4020	8949
155	4041	8911
156	4065	8880
157	4091	8856
158	4113	8821
159	4135	8788
160	4152	8743
161	4172	8705
162	4273	8835
163	4383	8981
164	4410	8954
165	4508	9070
166	4708	9389
167	4785	9456
168	4821	9442
169	4846	9408
170	4881	9391
171	4915	9373
172	4949	9354
173	4969	9310
174	4997	9281
175	5016	9235
176	5034	9186
177	5067	9166
178	5094	9136
179	5123	9108
180	5144	9066
181	5164	9023
182	5191	8992
183	5208	8944
184	5225	8898
185	5259	8878
186	5284	8845
187	5301	8798
188	5328	8767
189	5348	8727
190	5374	8695
191	5391	8649
192	5419	8620
193	5443	8585
194	5469	8555
195	5498	8528
196	5531	8508
197	5574	8502
198	5597	8466
199	5625	8438
200	5644	8396
201	5663	8355
202	5688	8322
203	5704	8277
204	5741	8262
205	5772	8238
206	5796	8205
207	5819	8170
208	5838	8129
209	5855	8086
210	5883	8058
211	5903	8019
212	5923	7981
213	5948	7949
214	5975	7920
215	5992	7879
216	6011	7839
217	6046	7821
218	6065	7783
219	6085	7744
220	6109	7712
221	6128	7674
222	6149	7638
223	6176	7609
224	6192	7568
225	6227	7550
226	6250	7516
227	6268	7477
228	6295	7449
229	6318	7417
230	6367	7415
231	6397	7389
232	6416	7353
233	6435	7315
234	6459	7284
235	6482	7251
236	6522	7238
237	6561	7223
238	6597	7204
239	6627	7179
240	6669	7167
241	6731	7176
242	6762	7151
243	6782	7115
244	6817	7095
245	6842	7064
246	6861	7028
247	6892	7003
248	6911	6967
249	6931	6931
250	6956	6900
251	6973	6862
252	6998	6832
253	7016	6795
254	7052	6776
255	7071	6740
256	7091	6705
257	7113	6672
258	7141	6644
259	7158	6607
260	7193	6586
261	7244	6580
262	7281	6561
263	7302	6528
264	7333	6503
265	7352	6467
266	7369	6431
267	7400	6406
268	7423	6374
269	7440	6338
270	7467	6310
271	7488	6276
272	7518	6251
273	7540	6219
274	7558	6183
275	7578	6150
276	7608	6125
277	7628	6091
278	7665	6072
279	7683	6037
280	7705	6005
281	7733	5978
282	7753	5945
283	7772	5911
284	7820	5899
285	7838	5865
286	7863	5835
287	7881	5801
288	7899	5767
289	7924	5738
290	7949	5709
291	7969	5676
292	7991	5645
293	8019	5619
294	8036	5584
295	8064	5558
296	8124	5552
297	8145	5521
298	8176	5496
299	8199	5466
300	8217	5432
301	8245	5406
302	8270	5377
303	8289	5344
304	8313	5314
305	8333	5283
306	8356	5253
307	8385	5227
308	8417	5203
309	8433	5169
310	8456	5139
311	8479	5109
312	8504	5081
313	8522	5048
314	8539	5015
315	8589	5001
316	8606	4968
317	8634	4941
318	8652	4909
319	8669	4876
320	8695	4848
321	8715	4818
322	8733	4785
323	8760	4758
324	8786	4731
325	8807	4701
326	8831	4672
327	8856	4644
328	8910	4631
329	8933	4601
330	8960	4575
331	8984	4546
332	9001	4514
333	9035	4490
334	9055	4460
335	9076	4430
336	9097	4400
337	9114	4368
338	9135	4338
339	9157	4309
340	9198	4288
341	9215	4257
342	9235	4227
343	9265	4201
344	9286	4172
345	9303	4140
346	9329	4113
347	9353	4085
348	9381	4059
349	9401	4029
350	9422	3999
351	9450	3973
352	9474	3945
353	9495	3916
354	9523	3889
355	9542	3859
356	9568	3832
357	9586	3802
358	9611	3774
359	9635	3747
360	9653	3716
361	9676	3688
362	9695	3659
363	9737	3638
364	9783	3618
365	9806	3590
366	9827	3561
367	9844	3531
368	9871	3504
369	9888	3474
370	9915	3447
371	9951	3424
372	9975	3396
373	9992	3366
374	10011	3337
375	10040	3311
376	10065	3284
377	10093	3257
378	10115	3229
379	10137	3201
380	10164	3174
381	10182	3145
382	10199	3115
383	10227	3089
384	10257	3063
385	10282	3036
386	10301	3007
387	10319	2978
388	10342	2951
389	10363	2923
390	10387	2895
391	10414	2869
392	10431	2840
393	10457	2813
394	10476	2784
395	10495	2756
396	10517	2728
397	10549	2703
398	10597	2682
399	10629	2657
400	10646	2628
401	10673	2601
402	10691	2573
403	10711	2545
404	10731	2517
405	10755	2490
406	10772	2461
407	10797	2434
408	10820	2407
409	10844	2380
410	10862	2352
411	10892	2326
412	10923	2301
413	10941	2272
414	10969	2246
415	10993	2219
416	11013	2192
417	11039	2165
418	11057	2137
419	11076	2109
420	11106	2084
421	11124	2056
422	11142	2028
423	11171	2002
424	11189	1974
425	11211	1947
426	11235	1920
427	11252	1892
428	11271	1865
429	11301	1839
430	11325	1813
431	11360	1788
432	11398	1763
433	11425	1737
434	11448	1710
435	11466	1683
436	11504	1658
437	11523	1631
438	11549	1604
439	11568	1577
440	11585	1550
441	11604	1522
442	11628	1496
443	11654	1469
444	11690	1444
445	11713	1418
446	11748	1393
447	11776	1366
448	11823	1342
449	11847	1316
450	11891	1291
451	11913	1265
452	11972	1242
453	12004	1216
454	12026	1189
455	12057	1163
456	12093	1137
457	12118	1111
458	12141	1084
459	12158	1057
460	12181	1030
461	12200	1003
462	12220	976
463	12255	950
464	12297	925
465	12319	898
466	12339	871
467	12369	845
468	12387	818
469	12406	791
470	12439	765
471	12457	738
472	12483	712
473	12502	685
474	12522	659
475	12557	633
476	12591	607
477	12613	580
478	12634	553
479	12667	527
480	12685	501
481	12706	474
482	12728	448
483	12749	421
484	12774	395
485	12793	368
486	12809	341
487	12829	315
488	12853	289
489	12881	262
490	12903	236
491	12926	210
492	12947	183
493	12972	157
494	12990	131
495	13006	104
496	13041	78
497	13075	52
498	13133	26
499	13151	0
